Serial No,ratings,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,category,product type,brand,main_cat,price,Human Sentiment Score,Review Type,Sentiment_Score,Sentiment_Magnitude,Google_API_Score,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,roberta_compound
13,5,,True,"11 2, 2017",A2JNAQKXQI16DI,B00009W3HD,souad jatkr,Thank you,Five Stars,1509580800,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.3,Positive,0.8,0.8,0.76,0.0,0.286,0.714,0.3612,0.006472667679190636,0.14155691862106323,0.8519704341888428,0.8454978074878454
14,5,,True,"10 6, 2017",A1YVEHHNGR3A6D,B00009W3HD,Amazon Customer,so nice not to have to cut a hole in the garage wall of our rental plus my Audi doesn't get lint all over it!,so nice not to have to cut a hole in the ...,1507248000,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.6,Positive,0.9,0.9,0.76,0.076,0.8,0.123,0.3149,0.08551782369613647,0.21332846581935883,0.7011536955833435,0.6156358420848846
15,4,,True,"09 5, 2017",AH072GXF0C0E5,B00009W3HD,Joyce,Exactly what I expected. Easy to put together,Easy to put,1504569600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.8,Positive,0.9,1.8,0.46,0.0,0.674,0.326,0.4404,0.07674433290958405,0.34249216318130493,0.5807634592056274,0.5040190368890762
16,4,2.0,True,"08 20, 2017",A2D1EO101DAN1B,B00009W3HD,Amazon Customer,Look good the pipe is a bit short,Four Stars,1503187200,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.3,Positive,0.0,0.0,,0.0,0.674,0.326,0.4404,0.01779935695230961,0.1048949733376503,0.8773056268692017,0.8595061842352152
20,5,,True,"04 1, 2017",A3JH3WLGE0HHDN,B00009W3HD,Brian,"When you live in an apartment, or have need supplemental heat during the winter, this little device is for you.  The lint trap is designed to catch any excess lint coming out of the dryer and disperse heat throughout the room from the dryer.  As my dryer is not vented to the outside, this was an absolute MUST for me.  I love it!",A must have for apartment dwellers or anyone whose dryer does not vent to the outside!,1491004800,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.7,Positive,0.6,3.0,0.2,0.034,0.898,0.067,0.4926,0.0057630822993814945,0.042124081403017044,0.9521127939224243,0.9463496268726885
23,5,,True,"09 5, 2016",A1YSCQBOH14RON,B00009W3HD,Nelda Adams,Did not have to put a hole in side of our camper.,Five Stars,1473033600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.4,Positive,0.7,0.7,0.76,0.0,1.0,0.0,0.0,0.3386358916759491,0.6257858276367188,0.03557826578617096,-0.3030576556921005
28,4,,True,"08 6, 2015",A1JSQ3STF8TB80,B00009W3HD,Jan,I seems to be working quite well.,Four Stars,1438819200,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.5,Positive,0.8,0.8,0.76,0.0,0.676,0.324,0.3384,0.0033881852868944407,0.0667325109243393,0.929879367351532,0.926491309190169
29,2,,True,"08 5, 2015",A1RF1E1TI5OC0N,B00009W3HD,Levinz11,This product is pretty much a piece of junk. They state it comes with a 5' hose but it's more like 3'. Not even long enough to mount the lint trap on the wall above the dryer. I have it sitting on the floor next to dryer. The zip ties are also total crap and do not secure the hose to the dryer or lint trap. I had to use zip ties. I'm not returning it because I need it for now but I'd recommend a different lint trap if you need one of these type products due to no exterior vent.,This product is pretty much a piece of junk,1438732800,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,-0.9,Negative,-0.6,4.6,-0.13,0.155,0.766,0.08,-0.8208,0.9286736845970154,0.06369785964488983,0.007628507446497679,-0.9210450737737119
35,1,,True,"02 23, 2015",AXP8WXVHLF8MJ,B00009W3HD,guest,"Very flimsy attachments, difficult to attach without coming off",One Star,1424649600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,-0.9,Negative,-0.8,0.8,-0.76,0.228,0.577,0.196,-0.099,0.8205001354217529,0.1669837385416031,0.012516157701611519,-0.8079839143902063
38,3,,True,"11 20, 2014",AKRB5KR3ERHNX,B00009W3HD,sally peterson,"Cheap, already broke",Three Stars,1416441600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,-0.8,Negative,-0.6,0.6,-0.76,0.583,0.417,0.0,-0.4215,0.5910007953643799,0.3443997800350189,0.0645994171500206,-0.5264013931155205
