Serial No,ratings,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,category,product type,brand,main_cat,price,Human Sentiment Score,Review Type,Sentiment_Score,Sentiment_Magnitude,Normalized_Sentiment_Scores
13,5,,True,"11 2, 2017",A2JNAQKXQI16DI,B00009W3HD,souad jatkr,Thank you,Five Stars,1509580800,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.3,Positive,0.8,0.8,0.76
14,5,,True,"10 6, 2017",A1YVEHHNGR3A6D,B00009W3HD,Amazon Customer,so nice not to have to cut a hole in the garage wall of our rental plus my Audi doesn't get lint all over it!,so nice not to have to cut a hole in the ...,1507248000,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.6,Positive,0.9,0.9,0.76
15,4,,True,"09 5, 2017",AH072GXF0C0E5,B00009W3HD,Joyce,Exactly what I expected. Easy to put together,Easy to put,1504569600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.8,Positive,0.9,1.8,0.46
16,4,2,True,"08 20, 2017",A2D1EO101DAN1B,B00009W3HD,Amazon Customer,Look good the pipe is a bit short,Four Stars,1503187200,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.3,Positive,0.0,0.0,
20,5,,True,"04 1, 2017",A3JH3WLGE0HHDN,B00009W3HD,Brian,"When you live in an apartment, or have need supplemental heat during the winter, this little device is for you.  The lint trap is designed to catch any excess lint coming out of the dryer and disperse heat throughout the room from the dryer.  As my dryer is not vented to the outside, this was an absolute MUST for me.  I love it!",A must have for apartment dwellers or anyone whose dryer does not vent to the outside!,1491004800,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.7,Positive,0.6,3.0,0.2
23,5,,True,"09 5, 2016",A1YSCQBOH14RON,B00009W3HD,Nelda Adams,Did not have to put a hole in side of our camper.,Five Stars,1473033600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.4,Positive,0.7,0.7,0.76
28,4,,True,"08 6, 2015",A1JSQ3STF8TB80,B00009W3HD,Jan,I seems to be working quite well.,Four Stars,1438819200,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.5,Positive,0.8,0.8,0.76
29,2,,True,"08 5, 2015",A1RF1E1TI5OC0N,B00009W3HD,Levinz11,This product is pretty much a piece of junk. They state it comes with a 5' hose but it's more like 3'. Not even long enough to mount the lint trap on the wall above the dryer. I have it sitting on the floor next to dryer. The zip ties are also total crap and do not secure the hose to the dryer or lint trap. I had to use zip ties. I'm not returning it because I need it for now but I'd recommend a different lint trap if you need one of these type products due to no exterior vent.,This product is pretty much a piece of junk,1438732800,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,-0.9,Negative,-0.6,4.6,-0.13
35,1,,True,"02 23, 2015",AXP8WXVHLF8MJ,B00009W3HD,guest,"Very flimsy attachments, difficult to attach without coming off",One Star,1424649600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,-0.9,Negative,-0.8,0.8,-0.76
38,3,,True,"11 20, 2014",AKRB5KR3ERHNX,B00009W3HD,sally peterson,"Cheap, already broke",Three Stars,1416441600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,-0.8,Negative,-0.6,0.6,-0.76
42,5,,True,"12 15, 2013",A2WTWNQ5YX0U3J,B00009W3HD,amazon customer,"Had this item for about 4 years.  Every winter we connect it to the dryer duct to re-direct the dryer heat inside.  Our dryer is in the mud room of the first floor and there is some moisture condensation for the beginning of the cycle but the dampness is useful to counter balance the dryness from the forced hot air from our home's heat pump.  We make sure the connections are secure because sometimes extra lint or dust can escape.  Also, we use an old pantyhose around the box as another filter to catch more lint.",saves heating bill; adds moisture,1387065600,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,0.9,Positive,0.2,1.3,0.15
43,1,7,True,"04 1, 2013",A3EATZMITBG525,B00009W3HD,El Jimbo,"We did not have a dryer vent in our new condo. Wish I had noticed that before we moved in. This seemed to be the only option and it is barely adequate. It does catch a lot of the lint but fine particles seem to escape at will. We have to dust the condo after every wash day. I didn't see any better options out there.

By the way, it is cheaply made, be gentle with it or you will mess it up.

*****Update****

After using this thing for about 9 months we have decided to stop using our dryer in the condo. I changed it from 3 stars to 1. It just doesn't catch enough lint and when we did a spring cleaning by moving furniture and the washer / dryer to clean up dust bunnies it was obvious it does a very poor job of eliminating lint from escaping into the rest of our condo. It was gross, and to think we've been breathing that stuff in. And, yes, we followed instructions, made sure there was plenty of water in the basin and we cleaned it out each time we used it. I do not recommend this product. We prefer going to the laundry building in our complex rather than use the dryer with the lint catcher.","No longer using it, it just doesn't do the job",1364774400,"['Appliances', 'Parts &amp; Accessories', 'Dryer Parts &amp; Accessories', 'Vents']",Dryer Vents,Deflecto,Tools &amp; Home Improvement,13.9,-0.9,Negative,-0.4,7.8,-0.05
49,4,,True,"05 2, 2016",A1K5L5FQJX2BFM,B0000ALEVA,Randall Hunte,Practical,Four Stars,1462147200,"['Appliances', 'Parts &amp; Accessories', 'Dishwasher Parts &amp; Accessories', 'Baskets']",Dishwasher Basket,Prince Lionheart,Baby,15.79,0.5,Positive,0.8,0.8,0.76
57,5,,True,"02 22, 2012",AALRHWC7V1MVE,B0000ALEVA,ABG,"I don't use the round thing (I guess it's for sippy cups), but I use the other two for Dr Brown bottles and Medela pumping supplies.  No complaints so far, it just does what it should!",Great!,1329868800,"['Appliances', 'Parts &amp; Accessories', 'Dishwasher Parts &amp; Accessories', 'Baskets']",Dishwasher Basket,Prince Lionheart,Baby,15.79,0.3,Positive,0.5,1.1,0.43
60,5,11,True,"12 16, 2010",A1KWLSHD6O5V9J,B0000TN7NS,PJD,"Like a lot of people, I have allergies and during the winter need to keep the humidity level between 30-40%. Higher humidity helps in that it keeps me from shocking my dogs and cats when I touch them. This is working great ! I have taken it from room to room to get the reading on each room so I'll know how much humidity I need to add to the air etc. The numbers are easy to read which is plus. I'd order this again and recommend it highly.",Works great !,1292457600,"['Appliances', 'Parts &amp; Accessories', 'Humidifier Parts &amp; Accessories', 'Humidity Meters']",Humidity Meters,Vicks,Health &amp; Personal Care,11.59,0.9,Positive,0.6,3.9,0.15
